"locus","n_taxa","aitchison_var"
"GALGAL_R00104.c123.linsi",302,0.0141780432034569
"GALGAL_R00105.c123.linsi",345,0.0150047078193474
"GALGAL_R00106.c123.linsi",355,0.0153125126983846
"GALGAL_R00107.c123.linsi",317,0.0068999104553594
"GALGAL_R00108.c123.linsi",229,0.0212457860563689
"GALGAL_R00109.c123.linsi",355,0.00850482182709547
"GALGAL_R00110.c123.linsi",314,0.00705983155772301
"GALGAL_R00111.c123.linsi",344,0.00785076493006042
"GALGAL_R00112.c123.linsi",356,0.0239942264549456
"GALGAL_R00113.c123.linsi",174,0.00706872966860789
"GALGAL_R00114.c123.linsi",251,0.0106802300835849
"GALGAL_R00115.c123.linsi",339,0.0154093079568431
"GALGAL_R00116.c123.linsi",320,0.0123227796701685
"GALGAL_R00117.c123.linsi",346,0.0143093357887596
"GALGAL_R00118.c123.linsi",340,0.0334888798574295
"GALGAL_R00119.c123.linsi",348,0.030217083719693
"GALGAL_R00120.c123.linsi",317,0.00406368215261532
"GALGAL_R00121.c123.linsi",273,0.0273891896275616
"GALGAL_R00122.c123.linsi",324,0.0123010261189993
"GALGAL_R00123.c123.linsi",342,0.00539310783837615
"GALGAL_R00124.c123.linsi",345,0.00249832259761694
"GALGAL_R00125.c123.linsi",336,0.0580401362611358
"GALGAL_R00126.c123.linsi",217,0.0105937508545849
"GALGAL_R00127.c123.linsi",272,0.0134545854388271
"GALGAL_R00129.c123.linsi",341,0.0309088498866856
"GALGAL_R00130.c123.linsi",353,0.010553866499419
"GALGAL_R00131.c123.linsi",225,0.0100243796771758
"GALGAL_R00132.c123.linsi",338,0.0148378320354606
"GALGAL_R00134.c123.linsi",4,0.00747205872131728
"GALGAL_R00137.c123.linsi",359,0.00800667069933923
"GALGAL_R00142.c123.linsi",358,0.00813209785881268
"GALGAL_R00144.c123.linsi",351,0.00707218542505106
"GALGAL_R00145.c123.linsi",26,0.0198261065221833
"GALGAL_R00146.c123.linsi",357,0.0411942265959178
"GALGAL_R00147.c123.linsi",193,0.0164756611543685
"GALGAL_R00148.c123.linsi",348,0.00680960989226404
"GALGAL_R00149.c123.linsi",317,0.00708794516498324
"GALGAL_R00150.c123.linsi",300,0.00684033032251278
"GALGAL_R00151.c123.linsi",301,0.0348355916931911
"GALGAL_R00152.c123.linsi",348,0.00546897448124352
"GALGAL_R00153.c123.linsi",323,0.0219216338646473
"GALGAL_R00154.c123.linsi",341,0.00372533697155292
"GALGAL_R00155.c123.linsi",335,0.00331305787280418
"GALGAL_R00156.c123.linsi",289,0.0044226815205386
"GALGAL_R00157.c123.linsi",341,0.00688044161984676
"GALGAL_R00158.c123.linsi",212,0.0442833082355542
"GALGAL_R00159.c123.linsi",356,0.00473530235011189
"GALGAL_R00160.c123.linsi",345,0.00961357549426144
"GALGAL_R00161.c123.linsi",319,0.00843680197953502
"GALGAL_R00162.c123.linsi",339,0.0195121001150488
"GALGAL_R00163.c123.linsi",349,0.00133412288320662
"GALGAL_R00164.c123.linsi",336,0.0127452242486685
"GALGAL_R00165.c123.linsi",34,0.0243189438788446
"GALGAL_R00166.c123.linsi",344,0.0156107030065392
"GALGAL_R00167.c123.linsi",310,0.00201233088378206
"GALGAL_R00168.c123.linsi",334,0.0028003304985892
"GALGAL_R00169.c123.linsi",325,0.00846807540171054
"GALGAL_R00170.c123.linsi",341,0.00511119284296791
"GALGAL_R00171.c123.linsi",341,0.007875389523503
"GALGAL_R00172.c123.linsi",350,0.00499470741983507
"GALGAL_R00173.c123.linsi",341,0.00508360005975878
"GALGAL_R00174.c123.linsi",191,0.0143720972482131
"GALGAL_R00175.c123.linsi",9,0.0298892969662498
"GALGAL_R00176.c123.linsi",303,0.0138510630752589
"GALGAL_R00177.c123.linsi",345,0.0260036343039057
"GALGAL_R00178.c123.linsi",299,0.00757669467866826
"GALGAL_R00179.c123.linsi",327,0.0112191232866288
"GALGAL_R00180.c123.linsi",329,0.0169471807112245
"GALGAL_R00181.c123.linsi",304,0.0240478011064871
"GALGAL_R00182.c123.linsi",349,0.0374775987786533
"GALGAL_R00183.c123.linsi",320,0.0554823377803417
"GALGAL_R00184.c123.linsi",330,0.0113022410513137
"GALGAL_R00185.c123.linsi",337,0.0412223986051882
"GALGAL_R00186.c123.linsi",300,0.0483590818911995
"GALGAL_R00187.c123.linsi",356,0.00862109326169686
"GALGAL_R00188.c123.linsi",306,0.0313847841074129
"GALGAL_R00189.c123.linsi",335,0.0348800266740763
"GALGAL_R00190.c123.linsi",353,0.0080496761867223
"GALGAL_R00191.c123.linsi",351,0.0185608017542644
"GALGAL_R00192.c123.linsi",354,0.0156275567497813
"GALGAL_R00193.c123.linsi",320,0.00176345531868389
"GALGAL_R00194.c123.linsi",360,0.0191395252639473
"GALGAL_R00195.c123.linsi",350,0.0132260078154279
"GALGAL_R00196.c123.linsi",357,0.00393027739456245
"GALGAL_R00197.c123.linsi",344,0.00450901118540843
"GALGAL_R00198.c123.linsi",355,0.00703912684307058
"GALGAL_R00199.c123.linsi",351,0.0132364953517592
"GALGAL_R00200.c123.linsi",354,0.00568075794642803
"GALGAL_R00201.c123.linsi",338,0.0061434793679077
"GALGAL_R00202.c123.linsi",20,0.0147156919721232
"GALGAL_R00203.c123.linsi",311,0.0177234660378414
"GALGAL_R00204.c123.linsi",335,0.00496246059494665
"GALGAL_R00205.c123.linsi",68,0.00847708503953228
"GALGAL_R00206.c123.linsi",283,0.0119191955355634
"GALGAL_R00207.c123.linsi",333,0.00232893395296799
"GALGAL_R00208.c123.linsi",324,0.00257633138089697
"GALGAL_R00209.c123.linsi",337,0.00204478827020151
"GALGAL_R00210.c123.linsi",318,0.00269376175461805
"GALGAL_R00211.c123.linsi",344,0.00542136973758232
"GALGAL_R00212.c123.linsi",299,0.00216355502702401
"GALGAL_R00213.c123.linsi",359,0.00498527921628545
"GALGAL_R00214.c123.linsi",357,0.00314147921368638
"GALGAL_R00215.c123.linsi",304,0.021501947391769
"GALGAL_R00216.c123.linsi",222,0.00143137986082365
"GALGAL_R00217.c123.linsi",342,0.0016668275372076
"GALGAL_R00218.c123.linsi",358,0.00412968029283295
"GALGAL_R00219.c123.linsi",363,0.00993908760402758
"GALGAL_R00220.c123.linsi",171,0.00549814528568723
"GALGAL_R00221.c123.linsi",221,0.00713280134755304
"GALGAL_R00222.c123.linsi",346,0.011277555908605
"GALGAL_R00223.c123.linsi",357,0.0113279546094831
"GALGAL_R00224.c123.linsi",358,0.00947679740160453
"GALGAL_R00225.c123.linsi",350,0.00131117744334811
"GALGAL_R00226.c123.linsi",253,0.00662809381581972
"GALGAL_R00227.c123.linsi",345,0.00920029972982737
"GALGAL_R00228.c123.linsi",346,0.0066477399395222
"GALGAL_R00229.c123.linsi",357,0.00805851834391886
"GALGAL_R00230.c123.linsi",341,0.011119146119088
"GALGAL_R00231.c123.linsi",346,0.00278715727616899
"GALGAL_R00232.c123.linsi",119,0.00500981181519584
"GALGAL_R00233.c123.linsi",286,0.00795831427076506
"GALGAL_R00234.c123.linsi",338,0.0038976181190753
"GALGAL_R00235.c123.linsi",353,0.00998327121450611
"GALGAL_R00236.c123.linsi",336,0.00293883403796124
"GALGAL_R00237.c123.linsi",314,0.00411588276846673
"GALGAL_R00238.c123.linsi",331,0.0111599824480843
"GALGAL_R00239.c123.linsi",327,0.00430526102538029
"GALGAL_R00240.c123.linsi",355,0.00321412494012805
"GALGAL_R00241.c123.linsi",355,0.00683340144206587
"GALGAL_R00242.c123.linsi",360,0.00686962363637752
"GALGAL_R00243.c123.linsi",355,0.00720772596700833
"GALGAL_R00244.c123.linsi",308,0.00507379216525222
"GALGAL_R00245.c123.linsi",349,0.0574304090439929
"GALGAL_R00246.c123.linsi",321,0.0058017069012811
"GALGAL_R00247.c123.linsi",347,0.0477224857990107
"GALGAL_R00248.c123.linsi",361,0.0118392022566426
"GALGAL_R00249.c123.linsi",354,0.0318550780837213
"GALGAL_R00250.c123.linsi",275,0.0254119187471333
"GALGAL_R00251.c123.linsi",317,0.0180266256494963
"GALGAL_R00252.c123.linsi",275,0.00434587550958127
"GALGAL_R00253.c123.linsi",289,0.00400698639347427
"GALGAL_R00254.c123.linsi",256,0.00663009862183088
"GALGAL_R00255.c123.linsi",217,0.0300291910236845
"GALGAL_R00256.c123.linsi",352,0.0178964435768374
"GALGAL_R00257.c123.linsi",354,0.00846127222898014
"GALGAL_R00258.c123.linsi",360,0.0166711129930775
"GALGAL_R00259.c123.linsi",352,0.0140478066654948
"GALGAL_R00260.c123.linsi",355,0.0141498418939091
"GALGAL_R00261.c123.linsi",338,0.00731922050019979
"GALGAL_R00262.c123.linsi",242,0.0309700292106685
"GALGAL_R00263.c123.linsi",153,0.00751007327420334
"GALGAL_R00264.c123.linsi",312,0.0107852677638389
"GALGAL_R00265.c123.linsi",323,0.00667131873524378
"GALGAL_R00266.c123.linsi",346,0.00607420032404191
"GALGAL_R00267.c123.linsi",338,0.0130072006482129
"GALGAL_R00268.c123.linsi",343,0.0132058622224566
"GALGAL_R00269.c123.linsi",360,0.0148264558716032
"GALGAL_R00270.c123.linsi",325,0.0074538133816415
"GALGAL_R00271.c123.linsi",353,0.0161769258384353
"GALGAL_R00272.c123.linsi",353,0.0220605687366265
"GALGAL_R00273.c123.linsi",311,0.0377574093165252
"GALGAL_R00274.c123.linsi",354,0.0031718981104472
"GALGAL_R00275.c123.linsi",358,0.0424007493799247
"GALGAL_R00276.c123.linsi",322,0.0555617294405238
"GALGAL_R00277.c123.linsi",160,0.00438152538087442
"GALGAL_R00278.c123.linsi",342,0.00623250860872815
"GALGAL_R00279.c123.linsi",262,0.0129767416149062
"GALGAL_R00280.c123.linsi",339,0.00389592193003549
"GALGAL_R00281.c123.linsi",232,0.00968688331308653
"GALGAL_R00282.c123.linsi",340,0.00732797921913101
"GALGAL_R00283.c123.linsi",152,0.0142811698824624
"GALGAL_R00284.c123.linsi",358,0.00281104570836949
"GALGAL_R00285.c123.linsi",249,0.0249340864624879
"GALGAL_R00286.c123.linsi",40,0.00343339568752495
"GALGAL_R00287.c123.linsi",357,0.00243148247839232
"GALGAL_R00288.c123.linsi",346,0.00579597176407725
"GALGAL_R00289.c123.linsi",355,0.0100507912111996
"GALGAL_R00290.c123.linsi",275,0.00347645491389411
"GALGAL_R00291.c123.linsi",212,0.00594053815021534
"GALGAL_R00292.c123.linsi",304,0.00109865519237731
"GALGAL_R00293.c123.linsi",359,0.0123594681109806
"GALGAL_R00294.c123.linsi",238,0.00518717397810645
"GALGAL_R00295.c123.linsi",352,0.0107764606342892
"GALGAL_R00296.c123.linsi",339,0.00888769848137775
"GALGAL_R00297.c123.linsi",284,0.00578531256408712
"GALGAL_R00298.c123.linsi",333,0.0019677601349555
"GALGAL_R00299.c123.linsi",330,0.00193031806781079
"GALGAL_R00300.c123.linsi",347,0.00581348320334836
"GALGAL_R00301.c123.linsi",356,0.00244489442007532
"GALGAL_R00302.c123.linsi",326,0.00109270537762744
"GALGAL_R00303.c123.linsi",348,0.0039837063312566
"GALGAL_R00304.c123.linsi",353,0.000837962775705188
"GALGAL_R00305.c123.linsi",248,0.00945345261884785
"GALGAL_R00306.c123.linsi",350,0.00461663997572052
"GALGAL_R00307.c123.linsi",311,0.00450048435592896
"GALGAL_R00308.c123.linsi",354,0.012959726037593
"GALGAL_R00309.c123.linsi",346,0.00151348339234117
"GALGAL_R00310.c123.linsi",360,0.00380531151720973
"GALGAL_R00311.c123.linsi",318,0.0014937632673194
"GALGAL_R00312.c123.linsi",357,0.0137997950511656
"GALGAL_R00313.c123.linsi",360,0.015882071038371
"GALGAL_R00314.c123.linsi",300,0.00553112667964779
"GALGAL_R00315.c123.linsi",325,0.0227378390352007
"GALGAL_R00316.c123.linsi",347,0.0112800708367589
"GALGAL_R00317.c123.linsi",280,0.0312129848354901
"GALGAL_R00318.c123.linsi",236,0.0186135981044034
"GALGAL_R00319.c123.linsi",247,0.0370386437701829
"GALGAL_R00320.c123.linsi",344,0.0113727169681484
"GALGAL_R00321.c123.linsi",333,0.00793137130684664
"GALGAL_R00322.c123.linsi",9,0.0369299470748674
"GALGAL_R00323.c123.linsi",330,0.00315541112909112
"GALGAL_R00324.c123.linsi",336,0.0110300726584845
"GALGAL_R00325.c123.linsi",338,0.00168232060571445
"GALGAL_R00326.c123.linsi",119,0.0123326106810391
"GALGAL_R00327.c123.linsi",349,0.0190406264019818
"GALGAL_R00328.c123.linsi",331,0.0230978782548008
"GALGAL_R00329.c123.linsi",7,0.0110623962435192
"GALGAL_R00330.c123.linsi",5,0.0164572626740199
"GALGAL_R00331.c123.linsi",340,0.00667207133092264
"GALGAL_R00332.c123.linsi",15,0.0198905603618749
"GALGAL_R00333.c123.linsi",4,0.00836507101517754
"GALGAL_R00334.c123.linsi",5,0.0140670916354102
"GALGAL_R00335.c123.linsi",4,0.011311968158911
"GALGAL_R00336.c123.linsi",115,0.0348098686418598
"GALGAL_R00337.c123.linsi",339,0.0114449952621744
"GALGAL_R00338.c123.linsi",326,0.00984953803345478
"GALGAL_R00339.c123.linsi",348,0.02312058302573
"GALGAL_R00340.c123.linsi",347,0.0247314679430035
"GALGAL_R00341.c123.linsi",359,0.0118195014168985
"GALGAL_R00342.c123.linsi",334,0.00298467660468009
"GALGAL_R00343.c123.linsi",257,0.009639474173707
"GALGAL_R00344.c123.linsi",239,0.0136147826527965
"GALGAL_R00345.c123.linsi",353,0.00965509981584983
"GALGAL_R00346.c123.linsi",358,0.00820357406177819
"GALGAL_R00347.c123.linsi",323,0.00172760208862824
"GALGAL_R00348.c123.linsi",299,0.0015787306749654
"GALGAL_R00349.c123.linsi",348,0.0148049875606232
"GALGAL_R00350.c123.linsi",315,0.00826877693539391
"GALGAL_R00351.c123.linsi",327,0.0465484664836593
"GALGAL_R00352.c123.linsi",317,0.0041451947332078
"GALGAL_R00353.c123.linsi",347,0.0128989960285429
"GALGAL_R00354.c123.linsi",288,0.0206322800783608
"GALGAL_R00355.c123.linsi",265,0.0081115669145607
"GALGAL_R00356.c123.linsi",15,0.0120511838400918
"GALGAL_R00357.c123.linsi",52,0.0299615819545936
"GALGAL_R00358.c123.linsi",335,0.0202318605252637
"GALGAL_R00359.c123.linsi",178,0.00719122132151365
"GALGAL_R00360.c123.linsi",221,0.0116550287447188
"GALGAL_R00361.c123.linsi",12,0.00819017478027797
"GALGAL_R00362.c123.linsi",97,0.0487721528547321
"GALGAL_R00363.c123.linsi",357,0.0105476663567625
"GALGAL_R00364.c123.linsi",104,0.0242966411063335
"GALGAL_R00365.c123.linsi",361,0.0105780134253421
"GALGAL_R00366.c123.linsi",361,0.00851117184323322
"GALGAL_R00367.c123.linsi",352,0.00775196727313981
"GALGAL_R00368.c123.linsi",230,0.00305291441167635
"GALGAL_R00369.c123.linsi",308,0.0203226090189657
"GALGAL_R00370.c123.linsi",332,0.00342869594243111
"GALGAL_R00371.c123.linsi",360,0.00227159626713355
"GALGAL_R00372.c123.linsi",330,0.00224885040768295
"GALGAL_R00373.c123.linsi",326,0.0151071244446467
"GALGAL_R00374.c123.linsi",343,0.0182553815512313
"GALGAL_R00375.c123.linsi",197,0.0429830257279433
"GALGAL_R00376.c123.linsi",361,0.0131161630904441
"GALGAL_R00377.c123.linsi",358,0.00394746694709528
"GALGAL_R00379.c123.linsi",357,0.0149606521699569
"GALGAL_R00380.c123.linsi",354,0.0114391965744075
"GALGAL_R00381.c123.linsi",362,0.0114597946600588
"GALGAL_R00382.c123.linsi",358,0.0213403179731326
"GALGAL_R00383.c123.linsi",352,0.00782232036224483
"GALGAL_R00384.c123.linsi",253,0.010703736449341
"GALGAL_R00385.c123.linsi",353,0.0320097510331363
"GALGAL_R00386.c123.linsi",355,0.0186066183306104
"GALGAL_R00387.c123.linsi",361,0.00587717467668397
"GALGAL_R00388.c123.linsi",348,0.00965929283020913
"GALGAL_R00389.c123.linsi",321,0.0115742661202769
"GALGAL_R00390.c123.linsi",354,0.0078388375191465
"GALGAL_R00391.c123.linsi",279,0.0236115262896025
"GALGAL_R00392.c123.linsi",274,0.0267087042064175
"GALGAL_R00393.c123.linsi",360,0.0506377019450158
"GALGAL_R00394.c123.linsi",353,0.0155678476437728
"GALGAL_R00395.c123.linsi",357,0.0168543654519607
"GALGAL_R00396.c123.linsi",290,0.0180554674876787
"GALGAL_R00397.c123.linsi",343,0.00914552145038259
"GALGAL_R00398.c123.linsi",342,0.00945949745880931
"GALGAL_R00399.c123.linsi",233,0.0115764518694452
"GALGAL_R00400.c123.linsi",358,0.0283091371905585
"GALGAL_R00401.c123.linsi",351,0.0108682786681522
"GALGAL_R00402.c123.linsi",362,0.00534491571101388
"GALGAL_R00403.c123.linsi",93,0.0335657626620724
"GALGAL_R00404.c123.linsi",335,0.00777145472432233
"GALGAL_R00405.c123.linsi",342,0.0166359256266609
"GALGAL_R00406.c123.linsi",328,0.0139996163892468
"GALGAL_R00407.c123.linsi",354,0.00489694377918457
"GALGAL_R00408.c123.linsi",349,0.00469792938213726
"GALGAL_R00409.c123.linsi",354,0.0097580224447479
"GALGAL_R00410.c123.linsi",344,0.0128859063035794
"GALGAL_R00411.c123.linsi",340,0.00639741794605512
"GALGAL_R00412.c123.linsi",347,0.00535401967674475
"GALGAL_R00413.c123.linsi",318,0.00448114358077203
"GALGAL_R00414.c123.linsi",232,0.0091441443552195
"GALGAL_R00415.c123.linsi",336,0.0187873691364719
"GALGAL_R00416.c123.linsi",340,0.00809590307948937
"GALGAL_R00417.c123.linsi",332,0.0190229919942202
"GALGAL_R00418.c123.linsi",316,0.0213372722002201
"GALGAL_R00419.c123.linsi",360,0.00426189847759281
"GALGAL_R00420.c123.linsi",355,0.00776192784664882
"GALGAL_R00421.c123.linsi",357,0.0121596652594442
"GALGAL_R00422.c123.linsi",356,0.00341910975094795
"GALGAL_R00423.c123.linsi",328,0.0116705454697076
"GALGAL_R00424.c123.linsi",355,0.0103959425828786
"GALGAL_R00425.c123.linsi",311,0.00326323179073822
"GALGAL_R00426.c123.linsi",309,0.00128113074751564
"GALGAL_R00427.c123.linsi",347,0.0239753814447366
"GALGAL_R00428.c123.linsi",358,0.0101963250715068
"GALGAL_R00429.c123.linsi",304,0.003552309203233
"GALGAL_R00430.c123.linsi",236,0.0341911117847703
"GALGAL_R00431.c123.linsi",325,0.00950630806386157
"GALGAL_R00432.c123.linsi",340,0.00178629824804945
"GALGAL_R00433.c123.linsi",349,0.0189997797377523
"GALGAL_R00434.c123.linsi",267,0.00762174051217543
"GALGAL_R00435.c123.linsi",352,0.0481498503537531
"GALGAL_R00436.c123.linsi",352,0.0626446462069819
"GALGAL_R00437.c123.linsi",320,0.00387273438768511
"GALGAL_R00438.c123.linsi",348,0.0058496107877048
"GALGAL_R00439.c123.linsi",306,0.021071404321028
"GALGAL_R00440.c123.linsi",338,0.00528928286431117
"GALGAL_R00441.c123.linsi",358,0.0148404397769485
"GALGAL_R00442.c123.linsi",329,0.0410882047546188
"GALGAL_R00443.c123.linsi",321,0.0154453751262472
"GALGAL_R00444.c123.linsi",355,0.0115051967009721
"GALGAL_R00445.c123.linsi",325,0.0134338448541979
"GALGAL_R00446.c123.linsi",352,0.0016081635145992
"GALGAL_R00447.c123.linsi",325,0.00616584290298372
"GALGAL_R00448.c123.linsi",348,0.0419774817755586
"GALGAL_R00449.c123.linsi",359,0.00684350062036557
"GALGAL_R00450.c123.linsi",338,0.0043061234616867
"GALGAL_R00451.c123.linsi",352,0.0078872677249513
"GALGAL_R00452.c123.linsi",351,0.00599510863193904
"GALGAL_R00453.c123.linsi",346,0.0141604389906909
"GALGAL_R00454.c123.linsi",358,0.00547396614405308
"GALGAL_R00455.c123.linsi",333,0.00188423206866208
"GALGAL_R00456.c123.linsi",351,0.00462257984465989
"GALGAL_R00457.c123.linsi",340,0.00951100833162685
"GALGAL_R00458.c123.linsi",241,0.0029345547685327
"GALGAL_R00459.c123.linsi",344,0.00449206426958341
"GALGAL_R00460.c123.linsi",357,0.0098827560369491
"GALGAL_R00461.c123.linsi",335,0.0192927580881867
"GALGAL_R00462.c123.linsi",323,0.00240468365068242
"GALGAL_R00463.c123.linsi",346,0.0158655807403738
"GALGAL_R00464.c123.linsi",356,0.00832896833573737
"GALGAL_R00465.c123.linsi",332,0.00264732011698854
"GALGAL_R00466.c123.linsi",345,0.00302730654534013
"GALGAL_R00467.c123.linsi",354,0.0108707034724442
"GALGAL_R00468.c123.linsi",346,0.00285323868870707
"GALGAL_R00469.c123.linsi",318,0.0115019136861353
"GALGAL_R00470.c123.linsi",260,0.0236795585627481
"GALGAL_R00471.c123.linsi",337,0.00414979273787737
"GALGAL_R00472.c123.linsi",334,0.00297764869588522
"GALGAL_R00473.c123.linsi",331,0.00906369845391441
"GALGAL_R00474.c123.linsi",338,0.00299291636696525
"GALGAL_R00475.c123.linsi",353,0.00312620639030196
"GALGAL_R00476.c123.linsi",344,0.0100228917362343
"GALGAL_R00477.c123.linsi",300,0.00706925237721659
"GALGAL_R00478.c123.linsi",337,0.00371338092559032
"GALGAL_R00479.c123.linsi",358,0.00548735360640433
"GALGAL_R00480.c123.linsi",185,0.00350084130723286
"GALGAL_R00481.c123.linsi",359,0.0126080038597513
"GALGAL_R00482.c123.linsi",312,0.00161841459793726
"GALGAL_R00483.c123.linsi",360,0.0155289181826683
"GALGAL_R00484.c123.linsi",324,0.00203934463769366
"GALGAL_R00485.c123.linsi",201,0.00273426582827284
"GALGAL_R00486.c123.linsi",330,0.00943917445923571
"GALGAL_R00487.c123.linsi",361,0.0126452138581316
"GALGAL_R00488.c123.linsi",315,0.0031013905404051
"GALGAL_R00489.c123.linsi",349,0.00728653954990089
"GALGAL_R00490.c123.linsi",354,0.00556973105741496
"GALGAL_R00491.c123.linsi",363,0.0133887228647544
"GALGAL_R00492.c123.linsi",362,0.00332599303147401
"GALGAL_R00493.c123.linsi",356,0.00657906794322838
"GALGAL_R00494.c123.linsi",357,0.00219642839773786
"GALGAL_R00495.c123.linsi",293,0.00557530882276007
"GALGAL_R00496.c123.linsi",352,0.00493870926176178
"GALGAL_R00497.c123.linsi",288,0.0275203674961515
"GALGAL_R00498.c123.linsi",352,0.00383903750563898
"GALGAL_R00499.c123.linsi",267,0.0018902137770626
"GALGAL_R00500.c123.linsi",250,0.00354173357755192
"GALGAL_R00501.c123.linsi",339,0.00211872373228049
"GALGAL_R00502.c123.linsi",361,0.00350060761508213
"GALGAL_R00503.c123.linsi",356,0.0169682648232423
