ID,GALGAL,OUT-0003
223,GALGAL_R00240,ALCTOR_R06076
224,GALGAL_R00241,ALCTOR_R13319
225,GALGAL_R00242,ALCTOR_R13320
226,GALGAL_R00243,ALCTOR_R14165
227,GALGAL_R00244,ALCTOR_R02399
228,GALGAL_R00245,ALCTOR_R11128
229,GALGAL_R00246,ALCTOR_R05589
230,GALGAL_R00247,ALCTOR_R13178
231,GALGAL_R00248,ALCTOR_R13179
232,GALGAL_R00249,ALCTOR_R09644
233,GALGAL_R00250,ALCTOR_R00908
234,GALGAL_R00251,ALCTOR_R00909
235,GALGAL_R00252,ALCTOR_R03184
236,GALGAL_R00253,ALCTOR_R11180
237,GALGAL_R00254,-
238,GALGAL_R00255,ALCTOR_R15445
239,GALGAL_R00256,ALCTOR_R06811
240,GALGAL_R00257,ALCTOR_R10158
241,GALGAL_R00258,ALCTOR_R10159
242,GALGAL_R00259,ALCTOR_R10160
243,GALGAL_R00260,ALCTOR_R10161
244,GALGAL_R00261,ALCTOR_R00803
245,GALGAL_R00262,ALCTOR_R14140
246,GALGAL_R00263,ALCTOR_R04528
247,GALGAL_R00264,ALCTOR_R10136
248,GALGAL_R00265,ALCTOR_R10137
249,GALGAL_R00266,ALCTOR_R10138
250,GALGAL_R00267,ALCTOR_R10139
251,GALGAL_R00268,ALCTOR_R10140
252,GALGAL_R00269,ALCTOR_R10141
253,GALGAL_R00270,ALCTOR_R10142
254,GALGAL_R00271,ALCTOR_R04916
255,GALGAL_R00272,ALCTOR_R04917
256,GALGAL_R00273,-
257,GALGAL_R00274,ALCTOR_R12200
258,GALGAL_R00275,ALCTOR_R12201
259,GALGAL_R00276,ALCTOR_R05465
260,GALGAL_R00277,ALCTOR_R01182
261,GALGAL_R00278,ALCTOR_R11515
262,GALGAL_R00279,ALCTOR_R11514
263,GALGAL_R00280,ALCTOR_R09279
264,GALGAL_R00281,ALCTOR_R11728
265,GALGAL_R00282,ALCTOR_R11733
266,GALGAL_R00283,ALCTOR_R11729
267,GALGAL_R00284,ALCTOR_R11236
268,GALGAL_R00285,-
269,GALGAL_R00286,-
270,GALGAL_R00287,ALCTOR_R13018
271,GALGAL_R00288,ALCTOR_R13019
272,GALGAL_R00289,ALCTOR_R13026
273,GALGAL_R00290,ALCTOR_R05889
274,GALGAL_R00291,ALCTOR_R10601
275,GALGAL_R00292,ALCTOR_R02386
276,GALGAL_R00293,ALCTOR_R01073
277,GALGAL_R00294,ALCTOR_R04721
278,GALGAL_R00295,ALCTOR_R07384
279,GALGAL_R00296,ALCTOR_R08344
280,GALGAL_R00297,-
281,GALGAL_R00298,ALCTOR_R05311
282,GALGAL_R00299,ALCTOR_R09885
283,GALGAL_R00300,ALCTOR_R07772
284,GALGAL_R00301,ALCTOR_R06061
285,GALGAL_R00302,ALCTOR_R10804
286,GALGAL_R00303,ALCTOR_R06532
287,GALGAL_R00304,ALCTOR_R12970
288,GALGAL_R00305,-
289,GALGAL_R00306,ALCTOR_R01598
290,GALGAL_R00307,ALCTOR_R01595
291,GALGAL_R00308,ALCTOR_R01599
292,GALGAL_R00309,ALCTOR_R01596
293,GALGAL_R00310,ALCTOR_R05381
294,GALGAL_R00311,ALCTOR_R06808
295,GALGAL_R00312,ALCTOR_R01756
296,GALGAL_R00313,ALCTOR_R02452
297,GALGAL_R00314,ALCTOR_R04682
298,GALGAL_R00315,ALCTOR_R09691
299,GALGAL_R00316,ALCTOR_R05122
300,GALGAL_R00317,ALCTOR_R05123
301,GALGAL_R00318,ALCTOR_R05124
302,GALGAL_R00319,ALCTOR_R00933
303,GALGAL_R00320,ALCTOR_R09721
304,GALGAL_R00321,ALCTOR_R05836
305,GALGAL_R00322,-
306,GALGAL_R00323,ALCTOR_R13842
307,GALGAL_R00324,ALCTOR_R01161
308,GALGAL_R00325,ALCTOR_R00212
309,GALGAL_R00326,ALCTOR_R02141
310,GALGAL_R00327,ALCTOR_R04724
311,GALGAL_R00328,ALCTOR_R04887
312,GALGAL_R00329,-
313,GALGAL_R00330,-
314,GALGAL_R00331,ALCTOR_R02754
315,GALGAL_R00332,-
316,GALGAL_R00333,-
317,GALGAL_R00334,-
318,GALGAL_R00335,-
319,GALGAL_R00336,-
320,GALGAL_R00337,ALCTOR_R01757
321,GALGAL_R00338,ALCTOR_R06056
322,GALGAL_R00339,ALCTOR_R04722
323,GALGAL_R00340,ALCTOR_R11732
324,GALGAL_R00341,ALCTOR_R02400
325,GALGAL_R00342,ALCTOR_R02744
326,GALGAL_R00343,ALCTOR_R07361
327,GALGAL_R00344,ALCTOR_R10162
328,GALGAL_R00345,ALCTOR_R06937
329,GALGAL_R00346,ALCTOR_R01651
330,GALGAL_R00347,ALCTOR_R10558
331,GALGAL_R00348,ALCTOR_R04635
332,GALGAL_R00349,ALCTOR_R00213
333,GALGAL_R00350,ALCTOR_R07787
334,GALGAL_R00351,ALCTOR_R11673
335,GALGAL_R00352,ALCTOR_R11507
336,GALGAL_R00353,ALCTOR_R04237
337,GALGAL_R00354,ALCTOR_R05892
338,GALGAL_R00355,-
339,GALGAL_R00356,-
340,GALGAL_R00357,-
341,GALGAL_R00358,ALCTOR_R13261
342,GALGAL_R00359,ALCTOR_R10057
343,GALGAL_R00360,ALCTOR_R08617
344,GALGAL_R00361,-
345,GALGAL_R00362,ALCTOR_R02913
346,GALGAL_R00363,ALCTOR_R13843
347,GALGAL_R00364,-
348,GALGAL_R00365,ALCTOR_R13020
349,GALGAL_R00366,ALCTOR_R04529
350,GALGAL_R00367,ALCTOR_R07769
351,GALGAL_R00368,ALCTOR_R05837
352,GALGAL_R00369,ALCTOR_R11905
353,GALGAL_R00370,ALCTOR_R13402
354,GALGAL_R00371,ALCTOR_R04190
355,GALGAL_R00372,ALCTOR_R01758
356,GALGAL_R00373,ALCTOR_R04683
357,GALGAL_R00374,ALCTOR_R05917
358,GALGAL_R00375,ALCTOR_R14254
359,GALGAL_R00376,ALCTOR_R11459
360,GALGAL_R00377,ALCTOR_R12748
361,GALGAL_R00379,ALCTOR_R13181
362,GALGAL_R00380,ALCTOR_R13182
363,GALGAL_R00381,ALCTOR_R13184
364,GALGAL_R00382,ALCTOR_R13185
365,GALGAL_R00383,ALCTOR_R13969
366,GALGAL_R00384,ALCTOR_R14141
367,GALGAL_R00385,ALCTOR_R10163
368,GALGAL_R00386,ALCTOR_R10164
369,GALGAL_R00387,ALCTOR_R10165
370,GALGAL_R00388,ALCTOR_R10166
371,GALGAL_R00389,ALCTOR_R10167
372,GALGAL_R00390,ALCTOR_R14113
373,GALGAL_R00391,ALCTOR_R11477
374,GALGAL_R00392,-
375,GALGAL_R00393,ALCTOR_R01301
376,GALGAL_R00394,ALCTOR_R10036
377,GALGAL_R00395,ALCTOR_R09836
378,GALGAL_R00396,ALCTOR_R03312
379,GALGAL_R00397,ALCTOR_R06032
380,GALGAL_R00398,ALCTOR_R06033
381,GALGAL_R00399,-
382,GALGAL_R00400,ALCTOR_R10143
383,GALGAL_R00401,ALCTOR_R10144
384,GALGAL_R00402,ALCTOR_R10145
385,GALGAL_R00403,ALCTOR_R10267
386,GALGAL_R00404,ALCTOR_R10146
387,GALGAL_R00405,ALCTOR_R08604
388,GALGAL_R00406,ALCTOR_R09192
389,GALGAL_R00407,ALCTOR_R09193
390,GALGAL_R00408,ALCTOR_R13459
391,GALGAL_R00409,ALCTOR_R13460
392,GALGAL_R00410,ALCTOR_R09912
393,GALGAL_R00411,ALCTOR_R00602
394,GALGAL_R00412,ALCTOR_R00603
395,GALGAL_R00413,ALCTOR_R06830
396,GALGAL_R00414,ALCTOR_R12245
397,GALGAL_R00415,ALCTOR_R11192
398,GALGAL_R00416,ALCTOR_R06650
399,GALGAL_R00417,ALCTOR_R11466
400,GALGAL_R00418,ALCTOR_R02299
401,GALGAL_R00419,ALCTOR_R06603
402,GALGAL_R00420,ALCTOR_R06741
403,GALGAL_R00421,ALCTOR_R06604
404,GALGAL_R00422,ALCTOR_R14033
405,GALGAL_R00423,ALCTOR_R14034
406,GALGAL_R00424,ALCTOR_R09194
407,GALGAL_R00425,ALCTOR_R09195
408,GALGAL_R00426,-
409,GALGAL_R00427,ALCTOR_R09449
410,GALGAL_R00428,ALCTOR_R09381
411,GALGAL_R00429,ALCTOR_R09645
412,GALGAL_R00430,ALCTOR_R04788
413,GALGAL_R00431,ALCTOR_R04789
414,GALGAL_R00432,ALCTOR_R01141
415,GALGAL_R00433,ALCTOR_R04055
416,GALGAL_R00434,-
417,GALGAL_R00435,ALCTOR_R05893
418,GALGAL_R00436,ALCTOR_R12490
419,GALGAL_R00437,ALCTOR_R09666
420,GALGAL_R00438,ALCTOR_R09667
421,GALGAL_R00439,-
422,GALGAL_R00440,ALCTOR_R11029
423,GALGAL_R00441,ALCTOR_R06827
424,GALGAL_R00442,ALCTOR_R04756
425,GALGAL_R00443,ALCTOR_R11452
426,GALGAL_R00444,ALCTOR_R11910
427,GALGAL_R00445,ALCTOR_R09996
428,GALGAL_R00446,ALCTOR_R07023
429,GALGAL_R00447,ALCTOR_R08467
430,GALGAL_R00448,ALCTOR_R01313
431,GALGAL_R00449,ALCTOR_R08572
432,GALGAL_R00450,-
433,GALGAL_R00451,ALCTOR_R08923
434,GALGAL_R00452,ALCTOR_R01652
435,GALGAL_R00453,ALCTOR_R01653
436,GALGAL_R00454,ALCTOR_R01654
437,GALGAL_R00455,ALCTOR_R08924
438,GALGAL_R00456,ALCTOR_R06436
439,GALGAL_R00457,ALCTOR_R01655
440,GALGAL_R00458,ALCTOR_R03186
441,GALGAL_R00459,ALCTOR_R01093
442,GALGAL_R00460,ALCTOR_R06370
443,GALGAL_R00461,ALCTOR_R13591
444,GALGAL_R00462,ALCTOR_R10875
445,GALGAL_R00463,ALCTOR_R03912
446,GALGAL_R00464,ALCTOR_R03913
447,GALGAL_R00465,ALCTOR_R10876
448,GALGAL_R00466,ALCTOR_R00934
449,GALGAL_R00467,ALCTOR_R09890
450,GALGAL_R00468,ALCTOR_R06317
451,GALGAL_R00469,ALCTOR_R07105
452,GALGAL_R00470,-
453,GALGAL_R00471,-
454,GALGAL_R00472,ALCTOR_R09616
455,GALGAL_R00473,ALCTOR_R07468
456,GALGAL_R00474,ALCTOR_R12649
457,GALGAL_R00475,ALCTOR_R00852
458,GALGAL_R00476,ALCTOR_R14364
459,GALGAL_R00477,ALCTOR_R00214
460,GALGAL_R00478,ALCTOR_R03627
461,GALGAL_R00479,ALCTOR_R03628
462,GALGAL_R00480,-
463,GALGAL_R00481,ALCTOR_R03629
464,GALGAL_R00482,ALCTOR_R13418
465,GALGAL_R00483,ALCTOR_R03907
466,GALGAL_R00484,ALCTOR_R02496
467,GALGAL_R00485,ALCTOR_R14067
468,GALGAL_R00486,ALCTOR_R12413
469,GALGAL_R00487,ALCTOR_R12414
470,GALGAL_R00488,ALCTOR_R03165
471,GALGAL_R00489,ALCTOR_R03166
472,GALGAL_R00490,ALCTOR_R03167
473,GALGAL_R00491,ALCTOR_R05838
474,GALGAL_R00492,ALCTOR_R05839
475,GALGAL_R00493,ALCTOR_R12202
476,GALGAL_R00494,ALCTOR_R13421
477,GALGAL_R00495,ALCTOR_R13422
478,GALGAL_R00496,ALCTOR_R04530
479,GALGAL_R00497,-
480,GALGAL_R00498,ALCTOR_R05840
481,GALGAL_R00499,ALCTOR_R04531
482,GALGAL_R00500,ALCTOR_R05841
483,GALGAL_R00501,ALCTOR_R05919
484,GALGAL_R00502,ALCTOR_R03597
485,GALGAL_R00503,ALCTOR_R04888
486,GALGAL_R00504,ALCTOR_R04889
487,GALGAL_R00505,ALCTOR_R04890
488,GALGAL_R00506,ALCTOR_R10031
489,GALGAL_R00507,ALCTOR_R03820
490,GALGAL_R00508,ALCTOR_R07059
491,GALGAL_R00509,ALCTOR_R07107
492,GALGAL_R00510,ALCTOR_R14372
493,GALGAL_R00511,ALCTOR_R14356
494,GALGAL_R00512,ALCTOR_R01196
495,GALGAL_R00513,-
496,GALGAL_R00514,ALCTOR_R06724
497,GALGAL_R00515,ALCTOR_R14289
498,GALGAL_R00516,ALCTOR_R04992
499,GALGAL_R00517,ALCTOR_R04993
500,GALGAL_R00518,ALCTOR_R10768
501,GALGAL_R00519,ALCTOR_R10769
502,GALGAL_R00521,ALCTOR_R09400
503,GALGAL_R00522,ALCTOR_R09401
504,GALGAL_R00523,-
505,GALGAL_R00524,ALCTOR_R13416
506,GALGAL_R00525,ALCTOR_R13417
507,GALGAL_R00526,ALCTOR_R11266
508,GALGAL_R00527,ALCTOR_R04636
509,GALGAL_R00528,ALCTOR_R10269
510,GALGAL_R00529,ALCTOR_R10270
511,GALGAL_R00530,ALCTOR_R05441
512,GALGAL_R00531,ALCTOR_R07775
513,GALGAL_R00532,ALCTOR_R11674
514,GALGAL_R00533,ALCTOR_R07776
515,GALGAL_R00534,ALCTOR_R11675
516,GALGAL_R00535,ALCTOR_R11676
517,GALGAL_R00536,ALCTOR_R05410
518,GALGAL_R00537,ALCTOR_R03056
519,GALGAL_R00538,ALCTOR_R13262
520,GALGAL_R00539,ALCTOR_R12527
521,GALGAL_R00540,ALCTOR_R03057
522,GALGAL_R00541,ALCTOR_R10559
523,GALGAL_R00542,ALCTOR_R10560
524,GALGAL_R00543,-
525,GALGAL_R00544,ALCTOR_R00821
526,GALGAL_R00545,ALCTOR_R11129
527,GALGAL_R00546,ALCTOR_R06704
528,GALGAL_R00547,ALCTOR_R02520
529,GALGAL_R00548,ALCTOR_R12980
530,GALGAL_R00549,ALCTOR_R06908
531,GALGAL_R00550,ALCTOR_R07770
532,GALGAL_R00551,ALCTOR_R07771
533,GALGAL_R00552,ALCTOR_R13321
534,GALGAL_R00553,ALCTOR_R13344
535,GALGAL_R00554,ALCTOR_R13322
536,GALGAL_R00555,ALCTOR_R05549
537,GALGAL_R00556,ALCTOR_R06077
538,GALGAL_R00557,ALCTOR_R06078
539,GALGAL_R00558,ALCTOR_R02687
540,GALGAL_R00559,ALCTOR_R00957
541,GALGAL_R00560,ALCTOR_R13533
542,GALGAL_R00561,ALCTOR_R13534
543,GALGAL_R00562,ALCTOR_R12294
544,GALGAL_R00563,ALCTOR_R12295
545,GALGAL_R00564,ALCTOR_R10508
546,GALGAL_R00565,ALCTOR_R10509
547,GALGAL_R00566,-
548,GALGAL_R00567,ALCTOR_R03841
549,GALGAL_R00568,ALCTOR_R12404
550,GALGAL_R00569,ALCTOR_R11376
551,GALGAL_R00570,ALCTOR_R12788
552,GALGAL_R00571,ALCTOR_R11730
553,GALGAL_R00572,ALCTOR_R03809
554,GALGAL_R00573,ALCTOR_R07132
555,GALGAL_R00574,ALCTOR_R04534
556,GALGAL_R00575,ALCTOR_R04535
557,GALGAL_R00576,ALCTOR_R04536
558,GALGAL_R00577,ALCTOR_R04537
559,GALGAL_R00578,ALCTOR_R13797
560,GALGAL_R00579,ALCTOR_R13798
561,GALGAL_R00580,ALCTOR_R13022
562,GALGAL_R00581,ALCTOR_R13023
563,GALGAL_R00582,ALCTOR_R13024
564,GALGAL_R00583,ALCTOR_R05890
565,GALGAL_R00584,ALCTOR_R10902
566,GALGAL_R00585,ALCTOR_R10602
567,GALGAL_R00586,ALCTOR_R04723
568,GALGAL_R00587,ALCTOR_R07390
569,GALGAL_R00588,ALCTOR_R07386
570,GALGAL_R00589,ALCTOR_R07387
571,GALGAL_R00590,ALCTOR_R07388
572,GALGAL_R00592,ALCTOR_R00977
573,GALGAL_R00593,ALCTOR_R05312
574,GALGAL_R00594,ALCTOR_R07773
575,GALGAL_R00595,ALCTOR_R12845
576,GALGAL_R00596,ALCTOR_R02756
577,GALGAL_R00597,ALCTOR_R06057
578,GALGAL_R00598,ALCTOR_R06058
579,GALGAL_R00599,ALCTOR_R06059
580,GALGAL_R00600,ALCTOR_R06060
581,GALGAL_R00601,ALCTOR_R01127
582,GALGAL_R00602,ALCTOR_R01128
583,GALGAL_R00603,ALCTOR_R09956
584,GALGAL_R00604,ALCTOR_R03779
585,GALGAL_R00605,ALCTOR_R08970
586,GALGAL_R00606,ALCTOR_R08971
587,GALGAL_R00607,ALCTOR_R05258
588,GALGAL_R00608,ALCTOR_R12735
589,GALGAL_R00609,ALCTOR_R06888
590,GALGAL_R00610,ALCTOR_R11147
591,GALGAL_R00611,ALCTOR_R05336
592,GALGAL_R00612,ALCTOR_R00965
593,GALGAL_R00613,ALCTOR_R13955
594,GALGAL_R00614,ALCTOR_R05382
595,GALGAL_R00615,ALCTOR_R04884
596,GALGAL_R00616,ALCTOR_R04885
597,GALGAL_R00617,ALCTOR_R04886
598,GALGAL_R00618,ALCTOR_R01759
599,GALGAL_R00619,ALCTOR_R01760
600,GALGAL_R00620,ALCTOR_R01761
601,GALGAL_R00621,ALCTOR_R10005
602,GALGAL_R00622,ALCTOR_R05212
603,GALGAL_R00623,ALCTOR_R13403
604,GALGAL_R00624,ALCTOR_R13405
605,GALGAL_R00625,ALCTOR_R04725
606,GALGAL_R00626,ALCTOR_R04726
607,GALGAL_R00627,ALCTOR_R04727
608,GALGAL_R00628,ALCTOR_R04728
609,GALGAL_R00629,ALCTOR_R02142
610,GALGAL_R00630,ALCTOR_R02143
611,GALGAL_R00631,ALCTOR_R02144
612,GALGAL_R00632,ALCTOR_R08269
613,GALGAL_R00633,ALCTOR_R04684
614,GALGAL_R00634,ALCTOR_R00215
615,GALGAL_R00635,ALCTOR_R03896
616,GALGAL_R00636,ALCTOR_R13832
617,GALGAL_R00637,ALCTOR_R13592
618,GALGAL_R00638,-
619,GALGAL_R00639,ALCTOR_R03143
620,GALGAL_R00640,ALCTOR_R01597
621,GALGAL_R00641,ALCTOR_R03059
622,GALGAL_R00642,ALCTOR_R03144
623,GALGAL_R00643,ALCTOR_R03060
624,GALGAL_R00644,-
625,GALGAL_R00645,ALCTOR_R11677
626,GALGAL_R00646,ALCTOR_R03918
627,GALGAL_R00647,ALCTOR_R11678
628,GALGAL_R00648,ALCTOR_R05842
629,GALGAL_R00649,-
630,GALGAL_R00650,-
631,GALGAL_R00651,ALCTOR_R02281
632,GALGAL_R00652,-
633,GALGAL_R00653,ALCTOR_R04532
634,GALGAL_R00654,ALCTOR_R02339
635,GALGAL_R00655,ALCTOR_R13216
636,GALGAL_R00656,ALCTOR_R11906
637,GALGAL_R00657,-
